Producent;Typer;Koder;KodeBeskrivelser;Fejl;Prioritering;Løsningsforslag;Varenumer prioritet 1;Varenummer prioritet 2;Varenummer prioritet 3;Koder (service - resultet);KodeBeskrivelser (service);Fejl (service);Spørgsmål 1;Spørgsmål 2;Spørgsmål 3;Kunden kan prøve;Send tekniker ja / nej;URL-links;URL-links_Kundeserviceinformationer;;;;;;;;;
Thermoplan;BW4 CTS;Produktet smager ikke som det skal. Kaffe-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;3;Inspicer 'fix piston' for blokeringer.;;;;Produktet smager ikke som det skal. Kaffe-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;Er det kaffe-produkter?;;;"Kunden skal kontrollere at bønnerne i bønnebeholderne er friske. Hvis de ikke er friske, så lugter det ""jordslået / af pap""";;;;;;;;;;;;
Thermoplan;BW4 CTS;Produktet smager ikke som det skal. Kaffe-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;4;Kontroller formalingsgraden af den malede kaffe. Kalibrer herefter kværnmængden. Husk at indstille ISQ efterfølgende.;;;;Produktet smager ikke som det skal. Kaffe-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;Er det kaffe-produkter?;;;"Kunden skal kontrollere at bønnerne i bønnebeholderne er friske. Hvis de ikke er friske, så lugter det ""jordslået / af pap""";;;;;;;;;;;;
Thermoplan;BW4 CTS;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;1;Kontroller, om der er friske bønner i bønnebeholderen.;;;;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;Er det Espresso-produkter? (Esp. Latte. Cappuccino);;;"Kunden skal kontrollere at bønnerne i bønnebeholderne er friske. Hvis de ikke er friske, så lugter det ""jordslået / af pap""";;;;;;;;;;;;
Thermoplan;BW4 CTS;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;2;Efterse om recepterne er indstillet efter Bentax's grundrecepter.;;;;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;Er det Espresso-produkter? (Esp. Latte. Cappuccino);;;"Kunden skal kontrollere at bønnerne i bønnebeholderne er friske. Hvis de ikke er friske, så lugter det ""jordslået / af pap""";;;;;;;;;;;;
Thermoplan;BW4 CTS;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;3;Inspicer 'fix piston' for blokeringer.;;;;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;Er det Espresso-produkter? (Esp. Latte. Cappuccino);;;"Kunden skal kontrollere at bønnerne i bønnebeholderne er friske. Hvis de ikke er friske, så lugter det ""jordslået / af pap""";;;;;;;;;;;;
Thermoplan;BW4 CTS;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;4;Kontroller formalingsgraden af den malede kaffe. Kalibrer herefter kværnmængden. Husk at indstille ISQ efterfølgende.;;;;Produktet smager ikke som det skal. Espresso-produkter.;Produkt smager ikke som det skal / produkt smager dårligt / produktet er bittert / produktet er surt;Flere faktorere skal overvejes.;Er det Espresso-produkter? (Esp. Latte. Cappuccino);;;"Kunden skal kontrollere at bønnerne i bønnebeholderne er friske. Hvis de ikke er friske, så lugter det ""jordslået / af pap""";;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thermoplan;BW4 CTS;Kværnmotoren bliver ved med at være aktiv.;Maskinen bliver ved med at kværne.;Der er opstået en komponentfejl.;1;"Test TRIAC på power board (se ""Ekstra information"").";;;;Kværnmotoren bliver ved med at være aktiv.;Maskinen bliver ved med at kværne.;Der er opstået en komponentfejl.;;;;Kunden kan desværre ikke gøre noget.;;https://bentax.sharepoint.com/:b:/g/EcCEU0oSxcRNuivXrWODZXIBpZEHFQb16zyhVbIVr1-lUg?e=tKt6Zx;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen registrere ikke kafferensetabs. Ingen yderligere information;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;1;Efterse om pistonen (133555) er knækket. Udskift om nødvendigt.;133555;;;Maskinen registrere ikke kafferensetabs. Ingen yderligere information;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Ingen yderligere information.;;;Kunden kan undersøge, om der er noget snavs, der blokerer rensenøglen indvendigt, og eventuelt fjerne det.;;;;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen registrere ikke kafferensetabs. Ingen yderligere information;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;2;Kontroller ledningsnettet (128749) for rensenøgleregistreringen. Kan testes ved at udføre en kontinuitetstest med et multimeter og montering af en magnet på 'Reed'-switch'ene.;128749;;;Maskinen registrere ikke kafferensetabs. Ingen yderligere information;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Ingen yderligere information.;;;Kunden kan undersøge, om der er noget snavs, der blokerer rensenøglen indvendigt, og eventuelt fjerne det.;;;https://bentax.sharepoint.com/:b:/g/EbTvnnFrflVOoxU7ASRW9GsBUGOtTZi-y_gy3Sy1agOaNg?e=EptPje;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen registrere ikke kafferensetabs. Piston er knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;1;Efterse om pistonen (133555) er knækket. Udskift om nødvendigt.;133555;;;Maskinen registrere ikke kafferensetabs. Piston er knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Pinden inde i nøglen er knækket.;;;Kunden kan desværre ikke gøre noget.;;;https://bentax.sharepoint.com/:b:/g/EbTvnnFrflVOoxU7ASRW9GsBUGOtTZi-y_gy3Sy1agOaNg?e=EptPje;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen registrere ikke kafferensetabs. Piston er knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;2;Kontroller ledningsnettet (128749) for rensenøgleregistreringen. Kan testes ved at udføre en kontinuitetstest med et multimeter og montering af en magnet på 'Reed'-switch'ene.;128749;;;Maskinen registrere ikke kafferensetabs. Piston er knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Pinden inde i nøglen er knækket.;;;Kunden kan desværre ikke gøre noget.;;;https://bentax.sharepoint.com/:b:/g/EbTvnnFrflVOoxU7ASRW9GsBUGOtTZi-y_gy3Sy1agOaNg?e=EptPje;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen registrere ikke kafferensetabs. Piston er ikke knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;1;Efterse om det er den gamle piston af metal eller om det er den nye i plastik (133555). Udskift hvis piston er af metal.;133555;;;Maskinen registrere ikke kafferensetabs. Piston er ikke knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Pinden inde i nøglen er ikke knækket.;;;Kunden kan undersøge, om der er noget snavs, der blokerer rensenøglen indvendigt, og eventuelt fjerne det.;;;https://bentax.sharepoint.com/:b:/g/EbTvnnFrflVOoxU7ASRW9GsBUGOtTZi-y_gy3Sy1agOaNg?e=EptPje;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen registrere ikke kafferensetabs. Piston er ikke knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;2;Kontroller ledningsnettet (128749) for rensenøgleregistreringen. Kan testes ved at udføre en kontinuitetstest med et multimeter og montering af en magnet på 'Reed'-switch'ene.;128749;;;Maskinen registrere ikke kafferensetabs. Piston er ikke knækket.;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Maskinen vil ikke registrere rensenøgle / Maskinen vil ikke registrere rensetabs;Pinden inde i nøglen er ikke knækket.;;;Kunden kan undersøge, om der er noget snavs, der blokerer rensenøglen indvendigt, og eventuelt fjerne det.;;;https://bentax.sharepoint.com/:b:/g/EbTvnnFrflVOoxU7ASRW9GsBUGOtTZi-y_gy3Sy1agOaNg?e=EptPje;;;;;;;;;
;;;;;;;;;;;;;;;;;;;https://bentax.sharepoint.com/:b:/g/EbTvnnFrflVOoxU7ASRW9GsBUGOtTZi-y_gy3Sy1agOaNg?e=EptPje;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;1;Test maskinen for overgang. Aftag strømkablet for maskinen og mål for overgang. Anvend en megger og udfør en isolationstest mellem jord og nul (N) / mellem jord og fase.;;;;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Ingen yderligere information.;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;2;Kontroller at der ingen umiddelbare utætheder er i maskinen. Specielt omkring varmelegemer og ventiler.;;;;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Ingen yderligere information.;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;3;Udfør en isolationstest af varmelegemet / varmelegemerne.;;;;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Ingen yderligere information.;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;4;Udfør en isolationstest af ventilerne (indgangs-, udleverings-, bryg-, te-, CK-ventilen osv.).;;;;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Ingen yderligere information.;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;5;Kontroller at der ingen umiddelbare defekter er at observere på kundens HPFI-relæ/Gruppetavle.;;;;Maskinen tager strømmen. Ingen yderligere information.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Ingen yderligere information.;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;1;Test maskinen for overgang. Aftag strømkablet for maskinen og mål for overgang. Anvend en megger og udfør en isolationstest mellem jord og nul (N) / mellem jord og fase.;;;;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med maskinopstart?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;2;Kontroller at der ingen umiddelbare utætheder er i maskinen. Specielt omkring varmelegemer og ventiler.;;;;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med maskinopstart?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;3;Udfør en isolationstest af varmelegemet / varmelegemerne.;;;;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med maskinopstart?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;4;Udfør en isolationstest af ventilerne (indgangs-, udleverings-, bryg-, te-, CK-ventilen osv.).;;;;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med maskinopstart?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;5;Kontroller at der ingen umiddelbare defekter er at observere på kundens HPFI-relæ/Gruppetavle.;;;;Maskinen tager strømmen. Maskinopstart.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med maskinopstart?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;1;Test maskinen for overgang. Aftag strømkablet for maskinen og mål for overgang. Anvend en megger og udfør en isolationstest mellem jord og nul (N) / mellem jord og fase.;;;;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med produktudlevering?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;2;Kontroller at der ingen umiddelbare utætheder er i maskinen. Specielt omkring varmelegemer og ventiler.;;;;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med produktudlevering?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;3;Udfør en isolationstest af varmelegemet / varmelegemerne.;;;;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med produktudlevering?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;4;Udfør en isolationstest af ventilerne (indgangs-, udleverings-, bryg-, te-, CK-ventilen osv.).;;;;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med produktudlevering?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;5;Kontroller at der ingen umiddelbare defekter er at observere på kundens HPFI-relæ/Gruppetavle.;;;;Maskinen tager strømmen. Produktudlevering.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med produktudlevering?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
Thermoplan;BW4 CTS;Maskinen tager strømmen. Rengøringsprogrammet.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;1;Test maskinen for overgang. Aftag strømkablet for maskinen og mål for overgang. Anvend en megger og udfør en isolationstest mellem jord og nul (N) / mellem jord og fase.;;;;Maskinen tager strømmen. Rengøringsprogrammet.;Maskinen slår HPFI / Maskinen tager strømmen / Slår sikringen.;Der er opstået en fejlstrøm i maskinens elektriske kredsløb. ;Er det i forbindelse med rengøringsprogrammet?;;;"[1] Kunden kan kontrollere at der ikke er utætheder omkring maskinen.
[2] Kunden kan prøve at indkoble HPFI-relæet / Gruppetavlen igen for at sikre at det virkelig er kaffemaskinen der tager strømmen. Test ved at tage et produkt eller to efter relæet er genindkoblet.";Send tekniker;https://bentax.sharepoint.com/:b:/g/ESPQhtj8gBNMrOkU9krzSlsB1jy4Dyo1jG3koG9CevWytA?e=vSfT2W;https://bentax.sharepoint.com/:b:/g/ET-fuo71OxZPsaN1Cx9WoTkBuO54UdIpQJdRwUGW4P9jSg?e=KgAcBe;;;;;;;;;
